id_abonne,ville,age,abonnement,duree_utilisation_mois,montant
1,Rabat,19,Premium,16,261.05
2,Rabat,61,Basic,38,449.83
3,Casablanca,23,Standard,15,529.09
4,Casablanca,53,Standard,46,666.39
5,Kenitra,44,Standard,29,608.8
6,Casablanca,66,Standard,45,450.48
7,Agadir,27,Standard,49,368.76
8,Rabat,42,Basic,23,854.12
9,Meknes,34,Basic,47,485.45
10,Rabat,42,Basic,36,327.52
11,Meknes,74,Premium,37,231.67
12,Rabat,20,Standard,50,323.92
13,Rabat,72,Standard,56,144.95
14,Agadir,47,Premium,11,400.67
15,Marrakech,60,Premium,45,938.82
16,Rabat,56,Standard,35,741.67
17,Fes,47,Famille,18,989.05
18,Kenitra,32,Premium,54,778.9
19,Casablanca,32,Basic,52,348.68
20,Agadir,22,Standard,59,944.76
21,Tanger,31,Famille,26,889.45
22,Tetouan,27,Premium,9,283.3
23,Kenitra,52,Premium,48,604.36
24,Meknes,43,Premium,15,996.46
25,Fes,50,Famille,6,766.99
26,Rabat,27,Standard,51,695.46
27,Meknes,22,Famille,25,615.09
28,Tetouan,51,Premium,36,866.74
29,Casablanca,61,Basic,44,889.55
30,Agadir,67,Premium,8,327.83
31,Fes,47,Basic,47,881.06
32,Agadir,50,Standard,33,916.0
33,Agadir,71,Standard,10,404.22
34,Fes,52,Basic,39,356.95
35,Casablanca,25,Premium,57,985.06
36,Agadir,33,Basic,16,883.11
37,Rabat,23,Famille,53,114.75
38,Kenitra,67,Standard,9,675.76
39,Kenitra,28,Premium,34,877.81
40,Oujda,31,Standard,46,345.13
41,Tanger,46,Famille,8,284.51
42,Rabat,39,Basic,38,575.23
43,Meknes,32,Basic,5,721.45
44,Casablanca,32,Basic,58,78.84
45,Tanger,22,Standard,18,684.53
46,Marrakech,52,Standard,47,937.74
47,Meknes,54,Famille,16,794.39
48,Oujda,30,Basic,7,675.03
49,Tanger,45,Famille,30,869.64
50,Casablanca,61,Basic,4,431.49
51,Tanger,69,Basic,16,231.01
52,Kenitra,46,Standard,28,223.31
53,Tetouan,33,Basic,29,816.62
54,Kenitra,24,Basic,42,998.32
55,Casablanca,23,Standard,11,435.09
56,Tetouan,31,Famille,58,104.7
57,Oujda,18,Famille,17,929.19
58,Tetouan,36,Famille,45,958.45
59,Kenitra,60,Famille,10,229.4
60,Marrakech,21,Basic,48,346.92
61,Casablanca,55,Famille,33,922.42
62,Kenitra,28,Basic,33,125.11
63,Fes,22,Basic,44,867.73
64,Oujda,25,Standard,38,613.79
65,Meknes,23,Famille,43,603.49
66,Kenitra,38,Premium,14,685.24
67,Tanger,33,Premium,26,173.33
68,Agadir,47,Premium,60,763.27
69,Rabat,18,Famille,40,997.53
70,Rabat,22,Standard,33,300.94
71,Tanger,74,Basic,57,281.07
72,Agadir,28,Famille,54,565.06
73,Agadir,57,Basic,43,825.25
74,Agadir,60,Basic,57,176.58
75,Rabat,74,Basic,48,574.56
76,Agadir,36,Standard,46,374.74
77,Agadir,50,Famille,17,909.07
78,Casablanca,23,Famille,54,311.85
79,Casablanca,39,Standard,41,979.81
80,Fes,65,Famille,36,719.38
81,Kenitra,18,Basic,5,946.8
82,Fes,52,Basic,54,399.76
83,Kenitra,27,Famille,9,88.74
84,Tanger,75,Basic,58,388.92
85,Marrakech,60,Basic,23,790.11
86,Oujda,57,Standard,60,932.39
87,Fes,69,Standard,57,440.68
88,Fes,65,Premium,51,933.28
